domain	enst_id	chrom	strand	chromStart	chromEnd	cdsStart	cdsEnd	domain_count	domain_start	domain_end	part_type	source
MEX3C__K Homology domain	ENST00000406189	chr18	-	51174550	51218333	51197320	51176351	3	51196567,51177437,51177155	51196633,51177576,51177358	domain	smart
MEX3C__K Homology domain, type 1 superfamily	ENST00000406189	chr18	-	51174550	51218333	51197320	51176351	3	51196567,51177413,51177119	51196633,51177576,51177361	homologous_superfamily	cathgene3d,ssf
MEX3C__K Homology domain, type 1	ENST00000406189	chr18	-	51174550	51218333	51197320	51176351	3	51196567,51177449,51177167	51196621,51177576,51177349	domain	pfam
MEX3C__Zinc finger, RING/FYVE/PHD-type	ENST00000406189	chr18	-	51174550	51218333	51197320	51176351	1	51176357	51176572	homologous_superfamily	cathgene3d
MEX3C__Zinc finger, RING-type	ENST00000406189	chr18	-	51174550	51218333	51197320	51176351	1	51176387	51176509	domain	profile,pfam,smart
ASXL3__Polycomb protein ASX/ASX-like	ENST00000269197	chr18	+	33578219	33751195	33578632	33746595	12	33578632,33607594,33644894,33646245,33661616,33670673,33671747,33683405,33731968,33734310,33738487,33742888	33578685,33607676,33645002,33646353,33661737,33670790,33671866,33683568,33732064,33734415,33740443,33746592	family	panther
ASXL3__ASX-like protein 3	ENST00000269197	chr18	+	33578219	33751195	33578632	33746595	12	33578632,33607594,33644894,33646245,33661616,33670673,33671747,33683405,33731968,33734310,33738487,33742888	33578685,33607676,33645002,33646353,33661737,33670790,33671866,33683568,33732064,33734415,33740443,33746592	family	panther
ASXL3__ASXL, HARE-HTH domain	ENST00000269197	chr18	+	33578219	33751195	33578632	33746595	4	33578659,33607594,33644894,33646245	33578685,33607676,33645002,33646250	domain	profile,pfam
ASXL3__ASX, DEUBAD domain	ENST00000269197	chr18	+	33578219	33751195	33578632	33746595	3	33683407,33731968,33734310	33683568,33732064,33734413	domain	pfam
ASXL3__DEUBAD  domain	ENST00000269197	chr18	+	33578219	33751195	33578632	33746595	4	33683449,33731968,33734310,33738487	33683568,33732064,33734415,33738493	domain	profile
ASXL3__Protein ASX-like, PHD domain	ENST00000269197	chr18	+	33578219	33751195	33578632	33746595	1	33746419	33746586	domain	pfam
SPPL2B__Peptidase A22B, signal peptide peptidase	ENST00000613503	chr19	+	2328615	2355095	2328710	2353209	15	2328725,2334602,2337443,2338752,2339069,2339824,2340076,2340898,2343211,2343965,2344362,2344553,2345253,2351434,2352946	2328775,2334721,2337625,2338841,2339208,2339966,2340172,2341014,2343292,2344039,2344424,2344652,2345330,2351594,2353125	family	pfam,panther
SPPL2B__Signal peptidase peptidase-like 2B	ENST00000613503	chr19	+	2328615	2355095	2328710	2353209	15	2328725,2334602,2337443,2338752,2339069,2339824,2340076,2340898,2343211,2343965,2344362,2344553,2345253,2351434,2352946	2328775,2334721,2337625,2338841,2339208,2339966,2340172,2341014,2343292,2344039,2344424,2344652,2345330,2351594,2353125	family	panther
SPPL2B__PA domain	ENST00000613503	chr19	+	2328615	2355095	2328710	2353209	2	2337482,2338752	2337625,2338832	domain	pfam
SPPL2B__Presenilin/signal peptide peptidase	ENST00000613503	chr19	+	2328615	2355095	2328710	2353209	9	2339873,2340076,2340898,2343211,2343965,2344362,2344553,2345253,2351434	2339966,2340172,2341014,2343292,2344039,2344424,2344652,2345330,2351555	family	smart
CRLS1__CDP-alcohol phosphatidyltransferase, transmembrane domain	ENST00000378863	chr20	+	6006093	6040053	6006247	6037158	7	6006547,6009775,6015361,6031285,6032012,6034464,6037074	6006552,6009912,6015490,6031370,6032080,6034555,6037146	homologous_superfamily	cathgene3d
CRLS1__CDP-alcohol phosphatidyltransferase	ENST00000378863	chr20	+	6006093	6040053	6006247	6037158	2	6009793,6015361	6009912,6015435	family	prosite,pfam
DDRGK1__DDRGK domain containing protein	ENST00000354488	chr20	-	3190350	3204685	3204627	3190653	7	3200342,3200001,3195231,3194830,3191765,3191190,3190689	3200407,3200102,3195353,3194868,3191821,3191238,3190819	family	smart,pfam
DDRGK1__Winged helix DNA-binding domain superfamily	ENST00000354488	chr20	-	3190350	3204685	3204627	3190653	5	3195231,3194830,3191765,3191190,3190761	3195239,3194868,3191821,3191238,3190819	homologous_superfamily	ssf
DDRGK1__Winged helix-like DNA-binding domain superfamily	ENST00000354488	chr20	-	3190350	3204685	3204627	3190653	4	3194830,3191765,3191190,3190785	3194862,3191821,3191238,3190819	homologous_superfamily	cathgene3d
DYRK1A__Dual specificity tyrosine-phosphorylation-regulated kinase 1A/B	ENST00000647188	chr21	+	37365573	37526358	37420375	37512531	10	37472731,37478208,37480638,37486467,37490175,37493017,37496118,37505283,37506099,37511911	37472880,37478300,37480826,37486614,37490461,37493163,37496258,37505589,37506223,37512393	family	panther
DYRK1A__Protein kinase-like domain superfamily	ENST00000647188	chr21	+	37365573	37526358	37420375	37512531	6	37480776,37486467,37490175,37493017,37496118,37505283	37480826,37486614,37490461,37493163,37496258,37505537	homologous_superfamily	ssf
DYRK1A__Dual specificity tyrosine-phosphorylation-regulated kinase 1A/1B, catalytic domain	ENST00000647188	chr21	+	37365573	37526358	37420375	37512531	6	37480779,37486467,37490175,37493017,37496118,37505283	37480826,37486614,37490461,37493163,37496258,37505522	domain	cdd
DYRK1A__Protein kinase domain	ENST00000647188	chr21	+	37365573	37526358	37420375	37512531	6	37480812,37486467,37490175,37493017,37496118,37505283	37480826,37486614,37490461,37493163,37496258,37505507	domain	profile,pfam,smart
DYRK1A__Protein kinase, ATP binding site	ENST00000647188	chr21	+	37365573	37526358	37420375	37512531	1	37486470	37486541	binding_site	prosite
DYRK1A__Serine/threonine-protein kinase, active site	ENST00000647188	chr21	+	37365573	37526358	37420375	37512531	1	37490384	37490422	active_site	prosite
